timestamp,open,high,low,close,volume,symbol,timeframe
2025-07-06 14:00:00,2558.32,2567.5,2547.11,2559.4,27455.221,ETH/USDT,1h
2025-07-06 15:00:00,2559.41,2561.62,2548.71,2558.72,9698.0232,ETH/USDT,1h
2025-07-06 16:00:00,2558.71,2560.81,2542.68,2552.14,12073.3915,ETH/USDT,1h
2025-07-06 17:00:00,2552.13,2552.5,2543.78,2547.4,10731.9519,ETH/USDT,1h
2025-07-06 18:00:00,2547.39,2547.48,2523.33,2532.02,15329.7451,ETH/USDT,1h
2025-07-06 19:00:00,2532.03,2541.9,2531.14,2541.06,8311.1454,ETH/USDT,1h
2025-07-06 20:00:00,2541.05,2551.25,2540.06,2545.49,6193.3239,ETH/USDT,1h
2025-07-06 21:00:00,2545.49,2602.38,2545.24,2587.69,40721.7555,ETH/USDT,1h
2025-07-06 22:00:00,2587.7,2605.0,2580.19,2582.31,23877.5504,ETH/USDT,1h
2025-07-06 23:00:00,2582.32,2582.92,2562.27,2570.35,15083.668,ETH/USDT,1h
2025-07-07 00:00:00,2570.35,2574.79,2555.2,2561.42,12309.56,ETH/USDT,1h
2025-07-07 01:00:00,2561.42,2565.7,2550.46,2563.31,8314.3516,ETH/USDT,1h
2025-07-07 02:00:00,2563.3,2584.0,2563.3,2576.34,14647.0973,ETH/USDT,1h
2025-07-07 03:00:00,2576.34,2590.57,2574.46,2577.42,8179.6712,ETH/USDT,1h
2025-07-07 04:00:00,2577.41,2580.64,2570.16,2573.43,8651.498,ETH/USDT,1h
2025-07-07 05:00:00,2573.44,2577.9,2566.36,2569.49,6641.4612,ETH/USDT,1h
2025-07-07 06:00:00,2569.49,2576.79,2563.57,2565.56,8469.7968,ETH/USDT,1h
2025-07-07 07:00:00,2565.57,2579.63,2560.0,2578.34,8176.9814,ETH/USDT,1h
2025-07-07 08:00:00,2578.33,2588.42,2570.68,2585.13,11813.6767,ETH/USDT,1h
2025-07-07 09:00:00,2585.13,2585.4,2566.68,2572.27,11003.2298,ETH/USDT,1h
2025-07-07 10:00:00,2572.28,2572.28,2558.51,2558.66,10561.1681,ETH/USDT,1h
2025-07-07 11:00:00,2558.67,2566.19,2552.57,2562.99,9492.4885,ETH/USDT,1h
2025-07-07 12:00:00,2562.99,2564.71,2543.97,2548.92,15112.9773,ETH/USDT,1h
2025-07-07 13:00:00,2548.93,2569.12,2535.77,2566.01,25991.0712,ETH/USDT,1h
2025-07-07 14:00:00,2566.02,2568.38,2529.67,2531.65,29957.5305,ETH/USDT,1h
2025-07-07 15:00:00,2531.65,2544.0,2527.5,2533.81,16863.9483,ETH/USDT,1h
2025-07-07 16:00:00,2533.81,2542.54,2512.0,2524.21,36625.768,ETH/USDT,1h
2025-07-07 17:00:00,2524.2,2548.0,2517.0,2533.15,17735.98,ETH/USDT,1h
2025-07-07 18:00:00,2533.15,2546.45,2520.53,2544.24,14406.705,ETH/USDT,1h
2025-07-07 19:00:00,2544.23,2557.49,2539.71,2543.97,13791.519,ETH/USDT,1h
2025-07-07 20:00:00,2543.97,2544.49,2530.0,2534.17,9408.3911,ETH/USDT,1h
2025-07-07 21:00:00,2534.17,2542.13,2523.33,2539.68,8296.8471,ETH/USDT,1h
2025-07-07 22:00:00,2539.68,2542.0,2529.66,2536.33,4634.8004,ETH/USDT,1h
2025-07-07 23:00:00,2536.34,2545.45,2536.33,2542.29,4621.0087,ETH/USDT,1h
2025-07-08 00:00:00,2542.3,2554.56,2537.6,2540.58,13701.1964,ETH/USDT,1h
2025-07-08 01:00:00,2540.58,2540.58,2526.82,2526.96,10005.976,ETH/USDT,1h
2025-07-08 02:00:00,2526.95,2538.48,2523.59,2528.01,14166.8676,ETH/USDT,1h
2025-07-08 03:00:00,2528.0,2540.05,2527.4,2538.34,7505.8857,ETH/USDT,1h
2025-07-08 04:00:00,2538.33,2544.47,2532.0,2543.63,7920.678,ETH/USDT,1h
2025-07-08 05:00:00,2543.64,2552.17,2542.06,2552.15,10356.4165,ETH/USDT,1h
2025-07-08 06:00:00,2552.15,2563.8,2550.21,2559.07,12689.2958,ETH/USDT,1h
2025-07-08 07:00:00,2559.07,2559.36,2547.49,2553.42,10452.1812,ETH/USDT,1h
2025-07-08 08:00:00,2553.42,2560.99,2546.01,2546.18,9055.8749,ETH/USDT,1h
2025-07-08 09:00:00,2546.19,2555.33,2543.33,2552.01,7877.4499,ETH/USDT,1h
2025-07-08 10:00:00,2552.01,2566.64,2550.5,2565.97,12911.4554,ETH/USDT,1h
2025-07-08 11:00:00,2565.98,2585.38,2562.99,2575.15,18052.5916,ETH/USDT,1h
2025-07-08 12:00:00,2575.16,2584.92,2571.47,2583.07,12053.8345,ETH/USDT,1h
2025-07-08 13:00:00,2583.06,2600.62,2571.05,2588.11,28578.2545,ETH/USDT,1h
2025-07-08 14:00:00,2588.1,2588.91,2557.86,2563.99,21843.9609,ETH/USDT,1h
2025-07-08 15:00:00,2564.0,2569.65,2558.71,2564.68,14553.3519,ETH/USDT,1h
2025-07-08 16:00:00,2564.68,2581.67,2559.68,2576.17,15787.5606,ETH/USDT,1h
2025-07-08 17:00:00,2576.18,2628.21,2575.28,2616.65,59856.4247,ETH/USDT,1h
2025-07-08 18:00:00,2616.64,2625.89,2611.57,2625.06,25937.2347,ETH/USDT,1h
2025-07-08 19:00:00,2625.07,2625.54,2601.57,2610.61,23088.9533,ETH/USDT,1h
2025-07-08 20:00:00,2610.61,2614.58,2598.41,2598.42,7300.7459,ETH/USDT,1h
2025-07-08 21:00:00,2598.42,2612.66,2596.85,2609.27,11745.1198,ETH/USDT,1h
2025-07-08 22:00:00,2609.28,2612.65,2602.29,2610.56,5751.8935,ETH/USDT,1h
2025-07-08 23:00:00,2610.56,2617.7,2607.08,2615.25,9722.5288,ETH/USDT,1h
2025-07-09 00:00:00,2615.25,2616.16,2603.25,2613.27,5958.8268,ETH/USDT,1h
2025-07-09 01:00:00,2613.26,2626.72,2599.74,2605.0,12242.8377,ETH/USDT,1h
2025-07-09 02:00:00,2605.0,2610.0,2601.42,2602.81,8121.4139,ETH/USDT,1h
2025-07-09 03:00:00,2602.82,2607.07,2589.78,2591.75,9736.8161,ETH/USDT,1h
2025-07-09 04:00:00,2591.74,2603.38,2590.98,2603.06,7377.698,ETH/USDT,1h
2025-07-09 05:00:00,2603.05,2647.0,2601.99,2628.21,32453.031,ETH/USDT,1h
2025-07-09 06:00:00,2628.2,2633.4,2618.05,2631.22,13743.1793,ETH/USDT,1h
2025-07-09 07:00:00,2631.22,2634.5,2621.53,2624.86,12152.4458,ETH/USDT,1h
2025-07-09 08:00:00,2624.86,2626.17,2610.85,2611.8,12951.2739,ETH/USDT,1h
2025-07-09 09:00:00,2611.8,2614.95,2604.37,2611.16,12135.2069,ETH/USDT,1h
2025-07-09 10:00:00,2611.16,2621.5,2606.49,2618.08,9764.1541,ETH/USDT,1h
2025-07-09 11:00:00,2618.09,2630.31,2616.64,2626.43,13542.4162,ETH/USDT,1h
2025-07-09 12:00:00,2626.43,2667.01,2623.95,2660.01,57482.1077,ETH/USDT,1h
2025-07-09 13:00:00,2660.0,2674.81,2652.91,2654.7,47597.3844,ETH/USDT,1h
2025-07-09 14:00:00,2654.71,2669.73,2629.51,2642.23,49031.6441,ETH/USDT,1h
2025-07-09 15:00:00,2642.22,2658.03,2641.21,2656.83,20457.7251,ETH/USDT,1h
2025-07-09 16:00:00,2656.84,2668.89,2652.41,2666.29,17631.2057,ETH/USDT,1h
2025-07-09 17:00:00,2666.29,2668.4,2653.06,2662.13,18823.8277,ETH/USDT,1h
2025-07-09 18:00:00,2662.14,2723.98,2661.51,2718.33,85638.5871,ETH/USDT,1h
2025-07-09 19:00:00,2718.34,2795.74,2717.02,2765.01,96776.2327,ETH/USDT,1h
2025-07-09 20:00:00,2765.01,2766.91,2731.72,2738.03,63540.3269,ETH/USDT,1h
2025-07-09 21:00:00,2738.02,2758.66,2735.44,2753.26,26760.1091,ETH/USDT,1h
2025-07-09 22:00:00,2753.27,2782.9,2753.27,2780.0,34284.3559,ETH/USDT,1h
